arch,library,host,group,matrix,n,nnz_upper,mtype,cores,rep,analyze_s,factor_s,factor_gflops,factor_nnz,fill_ratio,solve1_s,solve8_s,solve40_s,logdet,status
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk15.mtx,3948,60882,2,4,3,0.036162,0.003923,26.764,537211,8.824,0.000258,0.001702,0.004060,65400.18122,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk15.mtx,3948,60882,2,8,1,0.036659,0.002549,40.405,533691,8.766,0.000221,0.002832,0.003502,65400.18122,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk15.mtx,3948,60882,2,8,2,0.037448,0.002551,40.375,533691,8.766,0.000204,0.002503,0.003427,65400.18122,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk15.mtx,3948,60882,2,8,3,0.036544,0.002470,41.704,533691,8.766,0.000204,0.002613,0.003335,65400.18122,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk15.mtx,3948,60882,2,16,1,0.036918,0.001869,55.111,533691,8.766,0.000191,0.002203,0.002821,65400.18122,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk15.mtx,3948,60882,2,16,2,0.037415,0.001846,55.794,533691,8.766,0.000199,0.002240,0.003184,65400.18122,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk15.mtx,3948,60882,2,16,3,0.037583,0.001865,55.231,533691,8.766,0.000210,0.002272,0.003253,65400.18122,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk15.mtx,3948,60882,2,32,1,0.039835,0.001678,61.383,533691,8.766,0.000194,0.002565,0.003444,65400.18122,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk15.mtx,3948,60882,2,32,2,0.039705,0.001485,69.366,533691,8.766,0.000193,0.002222,0.003740,65400.18122,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk15.mtx,3948,60882,2,32,3,0.040076,0.001585,64.984,533691,8.766,0.000201,0.002119,0.003779,65400.18122,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk15.mtx,3948,60882,2,40,1,0.040503,0.001876,54.901,533691,8.766,0.000259,0.002093,0.004009,65400.18122,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk15.mtx,3948,60882,2,40,2,0.040938,0.001565,65.816,533691,8.766,0.000275,0.002129,0.004009,65400.18122,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk15.mtx,3948,60882,2,40,3,0.048803,0.001541,66.834,533691,8.766,0.000251,0.002174,0.003900,65400.18122,ok
